tractce10,TractIncomeLevel,2015TractMedianHouseHoldIncome
980000,Unknown,0.00
980100,Unknown,0.00
980300,Unknown,0.00
980400,Unknown,0.00
980500,Unknown,0.00
980600,Unknown,0.00
980700,Unknown,0.00
980800,Unknown,0.00
980900,Unknown,0.00
981000,Unknown,0.00
981100,Unknown,0.00
981200,Unknown,0.00
982200,Unknown,0.00
051100,Low,9773.00
260900,Low,9974.00
050900,Low,11975.00
130300,Moderate,13986.00
051000,Low,14544.00
562300,Low,14764.00
120400,Low,15960.00
562000,Moderate,16318.00
130100,Low,16630.00
040500,Unkown,17441.00
050100,Low,17692.00
030500,Low,17997.00
130600,Moderate,18012.00
040200,Low,19214.00
981800,Unknown,19219.00
120700,Moderate,19762.00
111400,Low,21154.00
040600,Moderate,21277.00
250900,Low,21607.00
261400,Low,23590.00
261500,Moderate,23906.00
250700,Low,23977.00
561900,Moderate,24000.00
130400,Low,24250.00
111500,Low,24308.00
120300,Low,25368.00
120800,Low,25689.00
040400,Middle,26196.00
050600,Moderate,26250.00
262000,Low,26361.00
101600,Low,26905.00
040900,Moderate,26964.00
130200,Low,27500.00
300100,Low,27733.00
481000,Low,28155.00
562600,Moderate,29318.00
180300,Low,29646.00
562400,Moderate,30163.00
563200,Moderate,30543.00
241200,Modereate,31466.00
101700,Low,32163.00
270300,Moderate,32788.00
080400,Middle,32837.00
111300,Moderate,33400.00
090300,Moderate,33816.00
070900,Middle,33929.00
562700,Middle,33938.00
290100,Moderate,34008.00
191500,Moderate,34496.00
561600,Moderate,35313.00
562500,Moderate,35519.00
562900,Moderate,36364.00
281400,Moderate,36490.00
080700,Moderate,36944.00
290200,Moderate,37183.00
060500,Middle,37273.00
060300,Middle,37431.00
271500,Moderate,37438.00
180700,Moderate,39023.00
191900,Moderate,39315.00
220600,Middle,40000.00
080200,Middle,40144.00
210700,Moderate,40403.00
561700,Moderate,40500.00
240600,Moderate,40566.00
270400,Moderate,40673.00
562800,Moderate,40735.00
260200,Moderate,40869.00
100500,Moderate,41051.00
010300,Middle,41071.00
101100,Moderate,41615.00
192000,Middle,41891.00
191400,Moderate,42216.00
202200,Moderate,42226.00
160800,Moderate,43068.00
281500,Moderate,43333.00
170600,Middle,43508.00
170200,Upper,43750.00
250300,Low,43750.00
191600,Moderate,43977.00
290400,Middle,44254.00
101400,Middle,45761.00
070600,Upper,47336.00
310200,Middle,47500.00
141300,Middle,48000.00
110200,Middle,48011.00
320400,Moderate,48043.00
320700,Middle,48833.00
191700,Middle,49321.00
080900,Moderate,49750.00
260700,Middle,50608.00
090100,Middle,50781.00
070500,Upper,51250.00
140500,Upper,51389.00
080600,Upper,51509.00
070800,Upper,51703.00
563100,Middle,51902.00
320600,Middle,52344.00
160900,Upper,53241.00
090200,Middle,53724.00
270100,Middle,54053.00
070300,Upper,54821.00
191800,Middle,55271.00
151700,Middle,56114.00
101800,Middle,56556.00
202300,Middle,56600.00
151600,Middle,57204.00
261200,Middle,59120.00
563000,Middle,59541.00
141400,Upper,61856.00
191100,Middle,62206.00
140600,Upper,65417.00
190300,Middle,65469.00
270800,Middle,66161.00
110600,Upper,67411.00
020100,Upper,67750.00
140800,Upper,67944.00
310300,Middle,68011.00
141100,Upper,68105.00
140200,Upper,72115.00
141000,Upper,77857.00
020300,Upper,94643.00
140300,Upper,113553.00
140100,Upper,119688.00
140400,Upper,127813.00