TRACT,PPoorCon
431100,0.022593
432300,0.015898
563800,0.016079
563300,0.018003
451104,0.009339
451105,0.0092
564000,0.102669
562900,0.020096
453003,0.082447
434000,0.00875
435000,0.015584
140500,0
170200,0
50100,0.036123
70600,0
80700,0
90100,0
111500,0
460001,0.000494
470501,0
401100,0.014365
510000,0.023415
512000,0.164678
512800,0.204593
512900,0.22093
514000,0.215328
515100,0.047273
515200,0.012023
515300,0.020833
516100,0.026352
516200,0.013319
517000,0.035649
522000,0.027979
523400,0.002007
524000,0.067261
525100,0.008333
525300,0.008008
550900,0.205248
552000,0.083521
552100,0.22906
552200,0.181552
560400,0.043222
560500,0.015217
560600,0.128606
561000,0.130769
552300,0.256312
561200,0.098544
475200,0.001531
475301,0.01195
495000,0.11307
521302,0.010619
523701,0.013648
411000,0.003792
525200,0.005038
428200,0.014568
982200,0
980700,0
562700,0
464400,0.079373
465600,0.009188
472200,0.005386
472300,0.008772
472400,0.011905
473100,0.001342
468700,0.03125
507000,0.01269
508000,0.124038
486900,0.100973
483800,0.111111
487000,0.032854
488200,0.011104
492900,0.085851
485000,0.011785
489001,0.002756
494000,0.065007
480101,0.0021
486700,0.068841
498000,0.016115
499300,0.058824
499400,0.033312
500300,0.031636
501000,0.03341
489002,0.000641
480102,0.005984
481000,0.044554
551900,0.070476
484500,0.005913
562500,0.008339
160800,0
160900,0
482500,0.086957
561500,0.068718
120800,0
475101,0.00213
190300,0
402000,0.036432
423000,0.009777
270400,0.028037
270800,0
426700,0.02592
426800,0.003759
271500,0.054889
406000,0.061846
405000,0.116105
429400,0.005558
428100,0.017065
429700,0.01626
430100,0.02261
281400,0
281500,0
290200,0.005421
410000,0.003846
413400,0.001183
416000,0.046099
300100,0.008713
310300,0
320600,0
417200,0.02289
417100,0.00404
418000,0.003538
419000,0.059572
261500,0.029703
262000,0
401200,0.12404
401300,0.013169
270300,0.002907
563200,0
980000,0
564100,0.005291
461000,0.008197
437000,0.005658
473200,0.003639
468800,0.018561
468900,0.00625
473401,0.002497
475102,0.008876
462600,0.020313
463900,0.022901
476200,0.012591
473402,0
477300,0.001083
473500,0.000748
479000,0.002278
473601,0.001179
473602,0.000927
474203,0.001829
478100,0.004165
464300,0.007238
472100,0.008675
562000,0
450700,0.01374
450800,0.015726
453004,0.034429
470502,0.003776
564500,0.099436
564400,0.023968
563900,0.014279
563100,0
562400,0.016915
562600,0.018045
980100,0
981100,0
562800,0
563000,0
564200,0.037838
515401,0.015789
561600,0.015259
561700,0
455000,0.021116
456003,0.009524
446000,0.003067
561900,0
457100,0.002445
447000,0.014019
457200,0.011979
448000,0.029874
449000,0.031447
101400,0.00472
140300,0
470400,0.003674
140400,0
320700,0.012594
40600,0
492800,0.087445
427000,0.034433
140600,0
490003,0.003299
480200,0.004861
490004,0.004094
451101,0.0025
521500,0.012251
456004,0.000431
526102,0.018519
414101,0.001406
429100,0.005988
427100,0.003651
491101,0.006155
452000,0.022528
459102,0.00289
451300,0.002051
261200,0
261400,0.082067
20100,0
523300,0.004945
561100,0.245841
140800,0
220600,0
40900,0
421100,0.009091
180300,0.036925
290100,0
475303,0.004394
523200,0.01252
521301,0.007937
409000,0.002392
141000,0
141300,0
561400,0.03341
513800,0.143345
240600,0.02875
241200,0.12611
250300,0
250700,0.054264
250900,0
20300,0
509400,0.107885
526301,0.000591
445500,0.009484
403500,0.054662
408002,0.015815
427200,0.013208
431400,0.004785
430200,0.012681
320400,0
526302,0.001324
496200,0.032496
480300,0.007901
412001,0.002786
521100,0
496101,0.017094
439000,0.022569
521200,0.006435
110600,0
477200,0.001067
474201,0.002157
526201,0.012838
425000,0.106359
413500,0
426300,0.001206
429600,0.008542
415002,0.011236
488500,0.050894
460002,0.00944
521402,0.001879
503002,0.01083
429300,0.003931
414102,0.005339
412002,0.001052
270100,0
191900,0
191800,0
192000,0
429201,0.000524
151600,0.018853
151700,0
407001,0.030769
432400,0.015394
30500,0
40200,0.037139
101600,0.068966
101700,0.040712
101800,0
110200,0.00649
180700,0
202200,0
518001,0.004654
50600,0
50900,0
484600,0.015831
551200,0.054555
404000,0.035809
475402,0.001629
191100,0
478200,0.00814
471000,0.030166
465800,0.011296
191500,0
191600,0.00095
474202,0.001035
521401,0.003802
526101,0.023125
459202,0
488100,0.015253
202300,0
51000,0
51100,0
470600,0.016807
141100,0
562300,0.053819
415001,0.026126
408001,0.014388
413300,0.002597
422000,0.002371
191400,0
310200,0
488300,0.092067
458000,0.008845
456001,0.01037
210700,0
459101,0.00149
431500,0.007796
477100,0.001789
480400,0.00405
520002,0.041867
523502,0.010463
523702,0.010459
526202,0.010033
10300,0
80200,0
80400,0
80900,0
130200,0
130300,0.058168
130400,0.054908
130600,0.035387
492700,0.107236
488400,0.008539
130100,0.058333
476100,0.002615
470300,0.004624
474101,0.004481
170600,0
496102,0.040766
523501,0.005311
414200,0.003363
413202,0.003162
429202,0.003041
260200,0.019681
462100,0.035529
473300,0.001295
424000,0.069318
290400,0
459201,0.016377
490002,0.010517
504100,0.033824
551300,0.019939
523100,0.04457
474102,0.002851
426400,0.007289
420000,0.02907
486800,0.145397
523600,0.001324
523800,0.0084
520001,0.006304
552400,0.04597
141400,0
484300,0.036451
469000,0.004314
40400,0
497000,0.06237
413201,0.003676
451102,0.012909
519000,0.000744
191700,0
260700,0.004592
260900,0
475401,0.002435
429500,0.000781
475304,0.001725
413100,0.001802
421200,0.008108
407002,0.014695
488600,0.017634
80600,0
491200,0.02754
40500,0
60500,0.049327
70300,0
70500,0
70800,0
90200,0
90300,0
100500,0
101100,0
140100,0
140200,0
60300,0
70900,0
111300,0
111400,0
120300,0
120400,0.057522
120700,0.081522
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
