YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
1871,----,42.7,47.3,56.2,64.8,73.9,71.7,73.3,59.3,54.8,38.2,29.2,----
1872,27.8,30.5,30.7,52.5,62.2,70.1,75.2,73.7,65.3,51.2,35.8,24.8,50
1873,28.1,29.9,36,45.2,60.7,71.4,77.1,71.1,63.2,50.4,35.3,36.8,50.4
1874,34.9,33.9,38.5,41.8,61.4,72.7,73.6,69.3,67.2,51.9,40.1,34.7,51.7
1875,22.6,20.8,35.6,46.6,61.6,70,73.4,70,61.6,50.4,38.2,36.6,49
1876,37,36.1,36.7,48,61,74.4,77.6,74.8,63,49.6,42.7,23.4,51.9
1877,27.6,37.1,35.7,52,59.6,72.4,75.8,74.1,66.4,57.8,43.6,43,53.8
1878,32.1,35.8,46.4,57.2,59.8,66.9,79.5,75.2,67,54.5,42.4,27,53.6
1879,26.6,27.3,41.4,48.4,63.4,69.6,76.8,72.1,62.7,61.1,43.3,38.8,52.6
1880,44.4,37.8,39.7,54.2,69.5,73.4,74.4,74.7,66,53.5,35.7,26.7,54.2
1881,27.6,30,37.1,47.2,67.2,69.4,77,76,77.2,60,44.9,40.9,54.5
1882,32.6,39.6,43.2,51,57.2,70.8,73,72.7,66.8,58.9,41.6,31.2,53.2
1883,28.4,34.8,34,50.8,61.4,71.4,74,70.4,63.8,55.6,46.6,36.4,52.3
1884,24,40.8,40.6,50.4,63.4,74.3,73.2,73.9,72.4,59.2,43.6,35,54.2
1885,28.2,23.6,32,50.2,62.6,69.6,77.6,71.9,65.6,53.2,43.6,36.2,51.2
1886,27.6,30.6,41.4,56.6,63.6,68.7,74.6,73.8,68.7,56.4,42.4,30,52.9
1887,31,38.7,37.4,51.9,68.5,71.8,80.3,71.9,64.6,53.2,44,36,54.1
1888,28.2,34.6,37,50.2,61.8,71.9,72.4,72,61.6,49.8,45.3,35.8,51.7
1889,36.5,28,43.2,52.4,62.4,68.2,74.6,70.2,65.6,51,43.5,45.6,53.4
1890,41.4,42,35.8,52.6,62,73.5,74,71.1,64.6,54.2,45.4,32.1,54.1
1891,35,39.2,37.6,53.4,58.8,72.3,70,71.7,69.4,53.4,42.3,42.1,53.8
1892,28,36.2,34.9,50.2,61.1,74.6,73.4,73.5,66.5,54,41.6,31.3,52.1
1893,21.6,31.8,40.1,51.4,59.6,71.8,73.7,71.4,65.3,55.4,41.6,35.6,51.6
1894,37,31.7,47.4,51,61.6,71.6,76.2,73.6,70.4,56.4,40.4,36.6,54.5
1895,27,22.8,36.4,53.6,63.3,74.7,71.6,74.5,71,49.8,45.4,37.4,52.3
1896,31.4,32.4,33,57.2,69.2,70.4,73.8,72.5,65.2,50.6,48.6,35.2,53.3
1897,27.4,35,44.6,51,58,67.9,76.2,70.5,67.6,59.2,44.9,36.9,53.3
1898,35.3,32.3,47.8,48.5,63.2,73.8,77.2,74.9,70.2,56,42.7,32.9,54.6
1899,31.4,25.4,40.2,55,65,72.2,75.6,74.2,65.4,59.4,46.2,33.8,53.6
1900,34,29,34.3,52.2,64.8,72.4,76.3,78.7,72.2,62.9,45.4,34.7,54.7
1901,32.5,24.6,41.6,49.1,62,71.8,78.9,75,66.5,56.7,39.2,33,52.6
1902,30.4,26.7,44.2,50.5,64.5,68.4,75.4,71,66.2,57.6,51.2,32.2,53.2
1903,30.6,33.4,50.1,51.6,66.4,65.8,74.3,72.2,67.4,56.2,39.5,27.6,52.9
1904,25.3,25.8,41.2,46.4,64,70.9,72.8,70.7,67.6,54.6,43.8,31.2,51.2
1905,26.2,24.6,45.4,50.6,63.5,71.2,74.6,72.1,65.8,54.8,40.4,35.2,52
1906,38.4,28.9,33.8,51.4,62.2,70.8,73.4,75.6,69.6,53.4,43.2,33.2,52.8
1907,34.7,26.4,46.2,43.8,56.4,65.8,72.6,69.8,66.6,50,41,35.2,50.7
1908,30.4,28,44.6,51.4,63.4,70.4,74.9,71.6,68.6,56.6,43.8,34.8,53.2
1909,35.1,37.3,37,50,60.5,70.6,71.2,72.4,65.1,49.6,50.4,26.8,52.2
1910,30.8,28.6,48.8,52.8,57.8,67,74.9,72.8,67.6,57.6,37.1,27,51.9
1911,35.2,35.3,37.1,48.1,68,71,75.4,73.8,68,54.2,39.3,39.1,53.7
1912,20.4,24.7,35.2,52.6,63.8,67.5,73.2,68.8,68.6,55.8,44.1,35.8,50.9
1913,40.2,28.8,43.4,51.6,60.6,70.5,73.6,73.2,65,55.4,45.1,35.8,53.6
1914,34.4,24.3,36.8,49.4,62.8,71,74,73.2,63.6,58.4,42.9,29.9,51.7
1915,30.6,36.8,33.2,55.5,58,67.1,72,69.1,68.8,56.2,45.2,31.8,52
1916,37.5,26.8,34.1,49.2,63.2,65.3,76.6,74.2,64.2,54.8,44.5,32.9,51.9
1917,31.6,27,40.6,49.6,54.6,67.6,73.6,72.2,62.1,48.9,39.8,24.5,49.3
1918,18.6,32.7,44.6,49.3,67.6,68,72,76.6,59.8,58.2,43.8,41,52.7
1919,34.4,33.5,42.2,51,60.8,75,75.4,70,66.4,60.6,42.6,28.2,53.3
1920,24.4,28.2,42.6,47,59.6,68.5,70.4,71.6,66.8,59.6,42.2,35.6,51.4
1921,34.6,35.6,50.7,56.9,62.4,73,77.6,70.2,70.8,54,44.6,34,55.4
1922,28.8,35.2,43,52.6,65,71.2,73.9,70.8,69.6,56.4,45.3,35.6,54
1923,33.4,27.4,38.6,49.8,60.1,71.6,73.3,71,67.4,52.3,43.2,43,52.6
1924,28.7,29.3,37,49.8,55.4,68.6,71.1,72.2,61.4,56.4,42.8,31.4,50.3
1925,29.8,39.2,42.4,54.4,56.2,73.1,72.4,72.3,70.6,47.2,40.6,30.8,52.4
1926,30.4,31.8,33.8,44.9,60.9,66.4,73.5,73.8,67.2,53.5,41.4,31.6,50.8
1927,30.1,38.1,44.8,49.9,60.7,64.6,73,67,68.1,57.3,47.2,33.8,52.8
1928,30.8,32.4,38.6,46.6,59,66.1,73.4,74.4,61.2,57,43.9,35.8,51.6
1929,28,28.6,46.4,53.4,59.5,68.7,73,68.2,67.1,52.2,41,34.6,51.7
1930,31.8,39,37.8,51.5,63,69.9,75,71.6,69.8,52.4,43.9,31.5,53.1
1931,33.2,34.6,36.4,50.6,60.8,70,77,73,70.3,57.4,51.6,41.5,54.7
1932,41.8,38.3,33.6,48.9,61.6,71,73,73.4,67.8,55.5,41.2,35.6,53.5
1933,39,33,38,51.6,63.5,73.3,75,72.4,69,53.8,39.6,35.3,53.6
1934,33.8,19.7,36.5,50.4,64.6,75.9,77.6,70.7,68.4,54.6,46.8,32.9,52.6
1935,32.1,33.2,47.6,50,58.8,70.1,76,72,63.4,53.8,43,24.8,52.1
1936,22.6,22.9,42.2,45.4,63.6,69.4,75,74.6,67.8,54.4,38.2,35.8,51
1937,37.7,30.6,34.4,47.8,61.4,70.2,72.9,75.2,62.6,50.1,39.4,29.6,51
1938,29.6,36.2,45.4,52.2,60.4,67.6,74.5,74.7,63.6,55.1,44,32.8,53
1939,33.2,34,40,47.2,64,71.4,71.3,73.5,67.8,55.5,40.4,34.5,52.8
1940,17.4,29.8,33.6,46.6,59.4,69.4,73.4,70.8,62.5,53,41.2,38.1,49.6
1941,28.6,26,31.4,57,62,70.4,74.4,70.8,67.5,58.4,44.7,37.1,52.3
1942,29,25.6,41,54.6,63,70.8,73.9,70.7,64.8,55.5,42.6,28.2,51.6
1943,30.6,31.6,37.6,44.2,61.1,74.6,73.2,71.7,63.2,51.2,39.5,29.4,50.7
1944,32.8,32.3,36,48.4,69,71.4,73.8,72.2,64.6,53,42.6,27.6,52
1945,22,31.9,51.2,54.4,56.4,68.5,73,72.2,67.4,52.6,43.4,26.8,51.6
1946,32.2,32.4,51.2,50,59.9,68.5,73,67.4,67.1,58.8,46.8,36.2,53.6
1947,36.2,22.1,32.6,52,58.7,68.5,70,76.6,66.3,62,39.2,32.6,51.4
1948,21.7,32.8,43.9,54.7,59.8,70,73.8,71.8,66.2,50.7,48,35.2,52.4
1949,38,37.8,40.6,49.6,62.6,73,76.4,73.4,61,59.6,42.2,36,54.2
1950,40.8,32.4,34.8,45.9,62.2,68.8,70.6,70.7,63.9,57.4,38.3,27.5,51.1
1951,33,33.3,39.7,49.2,62.2,70.3,73.9,71.4,64.5,57.9,37.4,34.6,52.3
1952,35,34.9,38.9,52.1,59,72.6,75.8,72.1,65.6,49.2,44.6,34.7,52.9
1953,36.2,35.1,40.6,46.8,62.8,70.2,73.1,71.9,64.6,55.3,44.2,34.7,53
1954,29.6,37.1,36.8,55.8,56.2,69.4,72.2,69.9,66.8,55.3,41.5,30.4,51.8
1955,27,31.4,40.5,56.1,62.1,65.1,76.9,74.2,66.1,53.3,38.9,28.9,51.7
1956,27.7,34,37.2,47,58.5,67.7,70.3,70.8,60.4,56.7,42,39.4,51
1957,25,34.6,39.7,52.7,60.9,70.4,71.8,70,64.8,49.6,42.7,35.3,51.5
1958,27.4,22.7,36.1,51.2,58.6,64.2,73,69.6,63.1,52.3,44,23,48.8
1959,25.3,31.8,37,51.3,63.9,68.6,72.7,74.9,68.3,53.8,39,34.8,51.8
1960,30.7,28.7,26,54,57.5,66.5,68.6,71.2,66.1,53.5,43.1,23.4,49.1
1961,22.2,32.3,41.3,44,55.2,65.1,70.5,71.2,68.5,55.3,42.8,31.3,50
1962,26.2,28.3,36.5,48.4,65.3,69.3,70.1,70.8,58.6,53.3,41.1,24.1,49.4
1963,21.1,19.3,40.7,49,56.5,67.2,70.8,67.7,61.3,58.8,43.7,22.4,48.2
1964,31.4,27,40,51.7,62.7,67.9,72.3,67.1,63.7,50.4,45.5,34,51.1
1965,28.2,28.4,35.2,49,65.9,66.9,69.9,69.1,64.7,48.1,41.3,37.5,50.4
1966,23.1,30.3,40.9,47.9,56.1,70.4,75.6,71.1,61.3,50.8,42.8,31.4,50.1
1967,32.3,25.6,40.2,52.2,54.3,73,71.5,68.8,61.1,52.5,36.8,34.8,50.3
1968,23.4,22.2,40.4,51.2,54.7,66.9,72,71.8,64.8,52.2,41.3,27.6,49.1
1969,26.7,29.5,34.3,51.7,60.2,66.3,72.7,69.7,63,52.9,39.2,26.7,49.7
1970,20.7,27.7,35.5,52.5,63.9,68.2,71.6,71.6,67.8,54.9,42.2,32.1,50.7
1971,23.7,30.4,34.3,46,56.6,71.4,70.2,69.6,68.5,59.5,40.4,38.8,50.8
1972,29.6,26.5,36.4,48.5,61.8,63.8,71.2,70.6,65.3,48.4,39.3,37.2,49.9
1973,29.7,28.8,48.3,49.3,56.4,70.9,73.2,73.2,56.1,56.1,44.1,33.3,52.5
1974,34,29.9,41.2,51.8,58.3,65.2,73.1,72.8,62.2,52.4,43.9,32.5,51.4
1975,32.6,32.1,36.3,44.3,63,57.8,72.8,73,58.8,53.3,46.3,32.9,51.1
1976,23.5,37.2,45.2,50.6,55.6,68.4,67.4,65.3,59.9,45.9,33.1,23.9,48
1977,11.4,26.9,43.7,50.8,63,63.8,71.8,68.1,64.7,50.5,45.6,31.1,49.3
1978,22.6,20.9,36.9,51,60.2,69.4,73,71.4,66.2,49.1,43,32.7,49.7
1979,21.4,18,43.1,49.7,59.1,67.7,70.3,69.6,63.4,50.9,44.7,34.6,49.4
1980,26.9,24.2,35.6,48.1,60.3,66.2,75,74.5,67.1,49.5,38.6,28.6,49.5
1981,20.5,31.4,35.6,51.9,58.4,68.8,72.1,69.7,61.9,49.4,40.3,29.4,49.1
1982,20.9,28.4,38.4,45.3,64.7,63.7,72.4,68.2,63.4,54.4,44.7,39.9,50.4
1983,30,32.6,40.7,47.1,55.8,67.8,73,72.8,64.4,53,43.5,25.4,50.5
1984,23.2,36.4,32.2,49.2,55.3,69.7,68.5,70.8,61.4,58.3,40.2,39.3,50.4
1985,22.1,27.7,42.1,55,60.6,64.2,70.5,69.6,65.3,55.2,47.1,27.4,50.6
1986,28.3,31.3,41.1,53.1,62,68.3,73.3,68.6,66.6,54.2,40.4,33.1,51.7
1987,28,32.6,41.9,50,63,70.9,75.7,71.8,65.1,47.8,46.2,35.1,52.3
1988,26.6,29,39.3,49.4,61.4,68.5,76.9,75.1,63.5,46.6,44.2,31.9,51
1989,35.5,27.8,41.1,47,58,69,74.1,71.6,64.8,53.3,40.6,19.2,50.2
1990,36.8,36.9,44,51.3,57.7,68.3,71.7,70.5,63.7,55,45.5,38,53.3
1991,29.7,35.4,43,54.5,68.7,72.6,75.4,74.4,64.6,55.7,41.6,35.3,54.2
1992,30.5,34.3,38.8,51.3,59.1,66,72.4,67.9,63.7,50.1,42.9,33.9,50.9
1993,35.1,27.8,37.6,50,61.9,68.9,75.7,75.4,63.3,51.7,43,31.7,51.8
1994,21.1,29.5,37.8,53.9,56.7,72.9,74.5,70,63.8,53.4,47.7,38.2,51.6
1995,31,26.5,42.8,48.6,60.4,71.9,75.7,77.7,64.3,56.3,38.1,27.7,51.8
1996,27.5,30.1,34.7,50.7,60,72.3,69.6,70.6,63.7,52,36.3,36.5,50.3
1997,28.1,35.1,40.5,46.4,54.2,68.1,71.7,68.2,62.1,52.6,39,33.5,50
1998,37.1,38.5,42.2,51,64.5,67.1,71.2,73.1,67.2,53.1,44.4,37.8,54
1999,30.1,34,35.1,51.8,61,69.4,76,69,64.2,52.3,46.7,34.6,52
2000,27.7,36,45.4,50.2,62.5,69.7,68.8,69.1,62.3,54.7,39.5,23.1,50.8
2001,28.4,35.1,35.3,54.3,60,68.4,70.2,73.1,62.1,54.2,48.2,37.5,52.2
2002,35.5,35,40.9,52.7,56.7,70.6,76,74.1,67.4,51,40.3,30.7,52.6
2003,21.5,26.5,41,53.4,59.1,65.8,71.3,72.6,63.1,50.5,46,32.6,50.3
2004,22.2,31.7,42.7,51.2,65.5,67.6,71.3,68.7,65.8,53.2,46,33.3,51.6
2005,29.7,32.4,35.3,52.3,56.3,71.7,75.1,73.7,67.3,53.4,44,27.6,51.6
2006,38.1,30.4,38.2,53.7,58.8,66.2,73.4,72.9,61,50.8,45.2,38.8,52.3
2007,32.5,20.9,43.3,47.5,63.8,69.5,70.6,74,66.7,59.3,41.8,34.5,52
2008,31.4,29.4,37.1,53.9,57,70,72.6,69.7,65.9,51.1,40.1,33,50.9
2009,22,31.2,42.3,52.1,61.2,68.2,69.4,71.8,64.9,50.7,47.2,31.1,51
2010,25.9,26.4,43.3,55.4,63.6,70.8,75.6,74.4,65.7,53.4,42.3,25.6,51.9
2011,24.2,31.8,39.2,53.3,62.9,70,76.9,72.8,65.4,52.8,46.9,37.5,52.8
2012,32.8,35.4,51.5,50.4,67,70.1,76.8,71.5,63.6,53.5,39.6,38.1,54.2
2013,31.5,28.7,35.9,52.4,62.5,69.4,73.4,70.7,64,56.3,39.4,34.2,51.5
2014,22.1,25.7,34.5,52.2,62,70.6,70.5,70,64.1,53.7,38.8,35.5,50
2015,25.3,18.3,35.8,52.9,66.1,70.4,73.3,71.3,69.6,53.9,48.6,44.5,52.5
2016,26.7,33.6,48,51.3,61.2,71.6,75.5,76,69.5,56.6,46.5,33.6,54.2
2017,34.6,40.6,39.9,57.3,60.6,69.7,73.7,70.3,66.4,58,42,30.6,53.6
2018,25.6,38.8,34.8,46.3,69,70.8,73.5,73,69.7,53.4,37.3,34.9,52.3
2019,27.5,33.9,36.7,54,64,68.3,75,71.9,69,56.2,37.7,35.4,52.4
2020,35.2,33.6,45.6,47.6,58.2,70,77.3,73.2,64.6,54,46.6,33.5,53.3